#,team,win,lose,rate,gap
Milwaukee Bucks,密爾瓦基公鹿,58,24,0.707,–
Boston Celtics,波士頓塞爾提克,57,25,0.695,1
Philadelphia 76ers,費城76人,54,28,0.659,4
Cleveland Cavaliers,克里夫蘭騎士,51,31,0.622,7
New York Knicks,紐約尼克,47,35,0.573,11
Brooklyn Nets,布魯克林籃網,45,37,0.549,13
Miami Heat,邁阿密熱火 ,44,38,0.537,14
Atlanta Hawks,亞特蘭大老鷹,41,41,0.5,17
Toronto Raptors,多倫多暴龍,41,41,0.5,17
Chicago Bulls,芝加哥公牛,40,42,0.488,18
Indiana Pacers,印第安納溜馬,35,47,0.427,23
Washington Wizards,華盛頓巫師,35,47,0.427,23
Orlando Magic,奧蘭多魔術,34,48,0.415,24
Charlotte Hornets,夏洛特黃蜂,27,55,0.329,31
Detroit Pistons,底特律活塞,17,65,0.207,41
Denver Nuggets,丹佛金塊,53,29,0.646,–
Memphis Grizzlies,曼非斯灰熊,51,31,0.622,2
Sacramento Kings,沙加緬度國王,48,34,0.585,5
Phoenix Suns,鳳凰城太陽,45,37,0.549,8
Los Angeles Clippers,洛杉磯快艇,44,38,0.537,9
Golden State Warriors,金州勇士,44,38,0.537,9
Los Angeles Lakers,洛杉磯湖人,43,39,0.524,10
Minnesota Timberwolves,明尼蘇達灰狼,42,40,0.512,11
New Orleans Pelicans,紐奧良鵜鶘,42,40,0.512,11
Oklahoma City Thunder,奧克拉荷馬城雷霆,40,42,0.488,13
Dallas Mavericks,達拉斯獨行俠,38,44,0.463,15
Utah Jazz,猶他爵士,37,45,0.451,16
Portland Trail Blazers,波特蘭拓荒者,33,49,0.402,20
San Antonio Spurs,聖安東尼奧馬刺,22,60,0.268,31
Houston Rockets,休士頓火箭,22,60,0.268,31
