統計期,期中人口(人),平均匯率(元/美元),經濟成長率(%),國內生產毛額GDP(名目值，百萬元),平均每人GDP(名目值，元),國民所得毛額GNI(名目值，百萬元),平均每人GNI(名目值，元),國民所得(名目值，百萬元),平均每人所得(名目值，元)
107年,23580080,30.16,2.79,18375022,779260,18789823,796852,15968442,677201
107年第1季,23571609,29.32,3.41,4498784,190824,4726683,200490,3996606,169523
107年第2季,23573132,29.78,3.42,4482674,190128,4563244,193545,3851267,163348
107年第3季,23575881,30.68,2.29,4597982,194996,4549158,192926,3889690,164958
107年第4季,23583210,30.86,2.12,4795582,203312,4950738,209891,4230879,179372
108年,23596027,30.93,3.06,18908632,801348,19384783,821527,16312542,691326
108年第1季,23589062,30.83,2.05,4580792,194163,4774328,202367,3987231,169005
108年第2季,23590112,31.15,2.99,4614922,195602,4764854,201956,3994494,169305
108年第3季,23592407,31.21,3.43,4770449,202174,4757231,201613,4023057,170499
108年第4季,23598452,30.51,3.7,4942469,209409,5088370,215591,4307760,182517
109年,23582179,29.58,3.39,19914806,844485,20486586,868732,17232544,730744
109年第1季,23599807,30.15,2.88,4711195,199628,4890504,207226,4071075,172503
109年第2季,23590158,29.93,0.62,4743777,201090,4881139,206914,4050957,171720
109年第3季,23576101,29.48,4.44,5107788,216649,5258723,223052,4457838,189081
109年第4季,23564807,28.77,5.39,5352046,227118,5456220,231540,4652674,197440
110年,23468275,28.02,6.53,21738982,926314,22197466,945850,18806943,801377
110年第1季,23543430,28.39,9.29,5300930,225230,5439134,231104,4565048,193962
110年第2季,23506566,27.99,7.85,5234720,222767,5342140,227339,4540278,193211
110年第3季,23459229,27.87,4.14,5422895,231240,5507387,234843,4634974,197640
110年第4季,23403131,27.84,5.23,5780437,247077,5908805,252564,5066643,216564
111年,23319977,29.81,2.35,22666522,975194,23295642,1002246,19462667,837339
111年第1季,23322153,28,3.87,5644734,242033,5826202,249814,4872421,208918
111年第2季,23227635,29.46,2.95,5504295,236972,5668381,244036,4767552,205253
111年第3季,23192206,30.4,3.64,5713793,246367,5744070,247672,4784257,206287
111年第4季,23231387,31.37,-0.78,5803700,249822,6056989,260724,5038437,216881
112年第1季,23298785,30.4,-3.31,5489131,235597,5788693,248455,4693036,201428
112年第2季,23353106,30.71,1.36,5670576,242819,5909830,253064,4851874,207761
